name,municipality,iata_code,type
Konge Airport,Konge,KGB,small_airport
Oksapmin Airport,Oksapmin,OKP,small_airport
Komako Airport,Komako,HOC,small_airport
Komaio Airport,Komaio,KCJ,small_airport
Koroba Airport,Koroba,KDE,small_airport
Open Bay Airport,Maitanakunai,OPB,small_airport
Pangoa Airport,Pangoa,PGB,small_airport
Pangia Airport,Pangia,PGN,small_airport
Mapoda Airport,Mapoda,MPF,small_airport
Pumani Airport,Pumani,PMN,small_airport
Walluanda Airport,Puri,WLU,small_airport
Port Moresby Jacksons International Airport,Port Moresby,POM,large_airport
Sopu Airport,Sopu,SPH,small_airport
Sialum Airport,Sialum,SXA,small_airport
Rumginae Airport,,RMN,small_airport
Karimui Airport,Karimui,KMR,small_airport
Maramuni Airport,Maramuni,MWI,small_airport
May River Airstrip,May River,MRH,small_airport
Suabi Airport,,SBE,small_airport
Simberi Airport,Simberi Island,NIS,small_airport
Sila Airport,Sila Mission,SIL,small_airport
Sabah Airport,Sabah,SBV,small_airport
Simbai Airport,Simbai,SIM,small_airport
Selbang Airport,Selbang,SBC,small_airport
Sepik Plains Airport,Sepik Plains,SPV,small_airport
Sauren Airport,Sauren,SXW,small_airport
Masa Airport,Masa,MBV,small_airport
Tari Airport,Tari,TIZ,small_airport
Tabubil Airport,Tabubil,TBG,small_airport
Tapini Airport,Tapini,TPI,small_airport
Tokua Airport,Kokopo,RAB,medium_airport
Tekin Airport,Tekin,TKW,small_airport
Tep Tep Airport,Teptep,TEP,small_airport
Tsewi Airport,Tsewi,TSW,small_airport
Tarakbits Airport,Tarakbits,TRJ,small_airport
Tawa Airport,Tawa,TWY,small_airport
Tekadu Airport,Tekadu,TKB,small_airport
Aiyura Airport,Aiyura Valley,AYU,small_airport
Umba Airport,Umba,UMC,small_airport
Uroubi Airport,Uroubi,URU,small_airport
Upiara Airport,Upiara,UPR,small_airport
Uvol Airport,Uvol,UVO,small_airport
Talasea Airport,Talasea,TLW,small_airport
Torembi Airport,Torembi,TCJ,small_airport
